AHK runtime verification matrix
===== 2.1-alpha.1 (D:\Tech\Projects\Autohotkey\v2.1-alpha.1\AutoHotkey64.exe) =====
[2.1-alpha.1] tests\ahk_live_cross_smoke.ahk = PASS
[2.1-alpha.1] tests\ahk_live_test.ahk = PASS
[2.1-alpha.1] tests\ahk_live_product_test.ahk = PASS
[2.1-alpha.1] tests\ahk_live_six_test.ahk = PASS
[2.1-alpha.1] tests\ahk_live_benchmark.ahk = PASS
[2.1-alpha.1] tests\remote_hook_test.ahk = PASS
[2.1-alpha.1] tests\evalscript_inproc.ahk = PASS
[2.1-alpha.1] tests\evalscript_repeat.ahk = PASS
[2.1-alpha.1] tests\evalscript_class.ahk = PASS
[2.1-alpha.1] tests\eval_object_syntax_test.ahk = PASS
[2.1-alpha.1] tests\remote_empty_object_test.ahk = PASS
[2.1-alpha.1] tests\remote_empty_target_test.ahk = PASS
[2.1-alpha.1] tests\remote_deep_redirect_test.ahk = PASS

===== 2.1-alpha.13 (D:\Tech\Projects\Autohotkey\v2.1-alpha.13\AutoHotkey64.exe) =====
[2.1-alpha.13] tests\ahk_live_cross_smoke.ahk = PASS
[2.1-alpha.13] tests\ahk_live_test.ahk = PASS
[2.1-alpha.13] tests\ahk_live_product_test.ahk = PASS
[2.1-alpha.13] tests\ahk_live_six_test.ahk = PASS
[2.1-alpha.13] tests\ahk_live_benchmark.ahk = PASS
[2.1-alpha.13] tests\remote_hook_test.ahk = PASS
[2.1-alpha.13] tests\evalscript_inproc.ahk = PASS
[2.1-alpha.13] tests\evalscript_repeat.ahk = PASS
[2.1-alpha.13] tests\evalscript_class.ahk = PASS
[2.1-alpha.13] tests\eval_object_syntax_test.ahk = PASS
[2.1-alpha.13] tests\remote_empty_object_test.ahk = PASS
[2.1-alpha.13] tests\remote_empty_target_test.ahk = PASS
[2.1-alpha.13] tests\remote_deep_redirect_test.ahk = PASS

===== 2.1-alpha.16 (D:\Tech\Projects\Autohotkey\v2.1-alpha.16\AutoHotkey64.exe) =====
[2.1-alpha.16] tests\ahk_live_cross_smoke.ahk = PASS
[2.1-alpha.16] tests\ahk_live_test.ahk = PASS
[2.1-alpha.16] tests\ahk_live_product_test.ahk = PASS
[2.1-alpha.16] tests\ahk_live_six_test.ahk = PASS
[2.1-alpha.16] tests\ahk_live_benchmark.ahk = PASS
[2.1-alpha.16] tests\remote_hook_test.ahk = PASS
[2.1-alpha.16] tests\evalscript_inproc.ahk = PASS
[2.1-alpha.16] tests\evalscript_repeat.ahk = PASS
[2.1-alpha.16] tests\evalscript_class.ahk = PASS
[2.1-alpha.16] tests\eval_object_syntax_test.ahk = PASS
[2.1-alpha.16] tests\remote_empty_object_test.ahk = PASS
[2.1-alpha.16] tests\remote_empty_target_test.ahk = PASS
[2.1-alpha.16] tests\remote_deep_redirect_test.ahk = PASS

===== 2.1-alpha.4 (D:\Tech\Projects\Autohotkey\v2.1-alpha.4\AutoHotkey64.exe) =====
[2.1-alpha.4] tests\ahk_live_cross_smoke.ahk = PASS
[2.1-alpha.4] tests\ahk_live_test.ahk = PASS
[2.1-alpha.4] tests\ahk_live_product_test.ahk = PASS
[2.1-alpha.4] tests\ahk_live_six_test.ahk = PASS
[2.1-alpha.4] tests\ahk_live_benchmark.ahk = PASS
[2.1-alpha.4] tests\remote_hook_test.ahk = PASS
[2.1-alpha.4] tests\evalscript_inproc.ahk = PASS
[2.1-alpha.4] tests\evalscript_repeat.ahk = PASS
[2.1-alpha.4] tests\evalscript_class.ahk = PASS
[2.1-alpha.4] tests\eval_object_syntax_test.ahk = PASS
[2.1-alpha.4] tests\remote_empty_object_test.ahk = PASS
[2.1-alpha.4] tests\remote_empty_target_test.ahk = PASS
[2.1-alpha.4] tests\remote_deep_redirect_test.ahk = PASS

===== Summary =====
Runtime                Pass/Total
2.0.0                  13/13
2.0.2                  13/13
2.0.26                 13/13
2.0.3                  13/13
2.0.4                  13/13
2.0-beta.10            13/13
2.0-beta.12            13/13
2.0-beta.13            13/13
2.0-beta.15            13/13
2.0-beta.9             13/13
2.0-beta-bin           13/13
2.0-beta-MyAutohotkey  13/13
2.0-rc.1               13/13
2.0-rc.3               13/13
2.1-alpha.1            13/13
2.1-alpha.13           13/13
2.1-alpha.16           13/13
2.1-alpha.30           13/13
2.1-alpha.4            13/13
